1,Sneaky,45:31.058,1:42.062,2
2,Goldrush,45:44.975,1:42.370,2
3,Scolwerz,45:45.858,1:40.931,2
4,NeXo,46:04.187,1:42.729,2
5,bj,46:08.633,1:42.380,2
6,Legenda,46:11.339,1:41.771,2
7,BMW,48:00.000,1:42.512,3
8,Dávid,48:10.000,1:43.325,3
9,Fooji,48:20.000,1:42.423,2
10,Mateusz rex,50:00.000,1:44.994,5
DNF,Ronelox,,1:53.203,1
DNF,Solo,,1:54.484,2
DNF,Rákoskutya,,1:44.321,1
DNF,Bálint,,1:43.149,1
DNF,lisek,,2:11.031,2
DNF,Monte Carlo,,1:50.718,0
DNF,Ármin,,2:00.727,0
DNF,Number One,,,0
DSQ,Yufex,,1:43.256,2
